location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Action Request,,,,IfcActionRequest,,
,Actor,,,,IfcActor,,
,Actor Role,,,,IfcActorRole,,
,Actuator,,,,IfcActuator,,
,Actuator Type,,,,IfcActuatorType,,
,Address,,,,IfcAddress,,
,Advanced Brep,,,,IfcAdvancedBrep,,
,Advanced Brep With Voids,,,,IfcAdvancedBrepWithVoids,,
,Advanced Face,,,,IfcAdvancedFace,,
,Air Terminal,,,,IfcAirTerminal,,
,Air Terminal Box,,,,IfcAirTerminalBox,,
,Air Terminal Box Type,,,,IfcAirTerminalBoxType,,
,Air Terminal Type,,,,IfcAirTerminalType,,
,Air To Air Heat Recovery,,,,IfcAirToAirHeatRecovery,,
,Air To Air Heat Recovery Type,,,,IfcAirToAirHeatRecoveryType,,
,Alarm,,,,IfcAlarm,,
,Alarm Type,,,,IfcAlarmType,,
,Building,,,,IfcBuilding,,
,Building Element,,,,IfcBuildingElement,,
,Building Element Part,,,,IfcBuildingElementPart,,
,Building Element Part Type,,,,IfcBuildingElementPartType,,
,Building Element Proxy,,,,IfcBuildingElementProxy,,
,Building Element Proxy Type,,,,IfcBuildingElementProxyType,,
,Building Element Type,,,,IfcBuildingElementType,,
,Building Storey,,,,IfcBuildingStorey,,
,Curve,,,,IfcCurve,,
,Curve Bounded Plane,,,,IfcCurveBoundedPlane,,
,Curve Bounded Surface,,,,IfcCurveBoundedSurface,,
,Curve Style,,,,IfcCurveStyle,,
,Curve Style Font,,,,IfcCurveStyleFont,,
,Mechanical Fastener,,,,IfcMechanicalFastener,,
,Mechanical Fastener Type,,,,IfcMechanicalFastenerType,,
,Medical Device,,,,IfcMedicalDevice,,
,Medical Device Type,,,,IfcMedicalDeviceType,,
,Member,,,,IfcMember,,
,Member Standard Case,,,,IfcMemberStandardCase,,
,Member Type,,,,IfcMemberType,,
,Metric,,,,IfcMetric,,
,Object,,,,IfcObject,,
,Object Definition,,,,IfcObjectDefinition,,
,Objective,,,,IfcObjective,,
,Object Placement,,,,IfcObjectPlacement,,
,Occupant,,,,IfcOccupant,,
,Offset Curve 2D,,,,IfcOffsetCurve2D,,
,Offset Curve 3D,,,,IfcOffsetCurve3D,,
,Opening Element,,,,IfcOpeningElement,,
,Opening Standard Case,,,,IfcOpeningStandardCase,,
,Open Shell,,,,IfcOpenShell,,
,Organization,,,,IfcOrganization,,
,Organization Relationship,,,,IfcOrganizationRelationship,,
,Oriented Edge,,,,IfcOrientedEdge,,
,Outer Boundary Curve,,,,IfcOuterBoundaryCurve,,
,Relationship,,,,IfcRelationship,,
,Relationship Connects,,,,IfcRelConnects,,
,Relationship Connects Elements,,,,IfcRelConnectsElements,,
,Relationship Connects Path Elements,,,,IfcRelConnectsPathElements,,
,Relationship Connects Ports,,,,IfcRelConnectsPorts,,
,Relationship Connects Port To Element,,,,IfcRelConnectsPortToElement,,
,Relationship Connects Structural Activity,,,,IfcRelConnectsStructuralActivity,,
,Relationship Connects Structural Member,,,,IfcRelConnectsStructuralMember,,
,Relationship Connects With Eccentricity,,,,IfcRelConnectsWithEccentricity,,
,Relationship Connects With Realizing Elements,,,,IfcRelConnectsWithRealizingElements,,
,Relationship Contained In Spatial Structure,,,,IfcRelContainedInSpatialStructure,,
,Relationship Covers Building Elements,,,,IfcRelCoversBldgElements,,
,Relationship Covers Spaces,,,,IfcRelCoversSpaces,,
,Relationship Declares,,,,IfcRelDeclares,,
,Relationship Decomposes,,,,IfcRelDecomposes,,
,Table,,,,IfcTable,,
,Table Column,,,,IfcTableColumn,,
,Table Row,,,,IfcTableRow,,
,Tank,,,,IfcTank,,
,Tank Type,,,,IfcTankType,,
,Task,,,,IfcTask,,
,Task Time,,,,IfcTaskTime,,
,Task Time Recurring,,,,IfcTaskTimeRecurring,,
,Task Type,,,,IfcTaskType,,
,Telecom Address,,,,IfcTelecomAddress,,
,Voiding Feature,,,,IfcVoidingFeature,,
,Wall,,,,IfcWall,,
,Wall Elemented Case,,,,IfcWallElementedCase,,
,Wall Standard Case,,,,IfcWallStandardCase,,
,Wall Type,,,,IfcWallType,,
,Waste Terminal,,,,IfcWasteTerminal,,
,Waste Terminal Type,,,,IfcWasteTerminalType,,
,Window,,,,IfcWindow,,
,Window Lining Properties,,,,IfcWindowLiningProperties,,
,Window Panel Properties,,,,IfcWindowPanelProperties,,
,Window Standard Case,,,,IfcWindowStandardCase,,
,Window Style,,,,IfcWindowStyle,,
,Window Type,,,,IfcWindowType,,
,Work Calendar,,,,IfcWorkCalendar,,
,Work Control,,,,IfcWorkControl,,
,Work Plan,,,,IfcWorkPlan,,
,Work Schedule,,,,IfcWorkSchedule,,
,Work Time,,,,IfcWorkTime,,
,Zone,,,,IfcZone,,
,Z Shape Profile Definition,,,,IfcZShapeProfileDef,,